@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
63.64,22,37,15,8.08,6.43,1.25,8.08,646.4,80.8,110.21,1,1.363985,PASSED
63.64,20,34,14,7.16,5.82,0.74,7.16,572.5,71.56,92.01,1,1.285774,PASSED
45.45,24,37,13,10.14,7.71,0.81,10.14,810.9,101.36,141.45,3,1.395521,PASSED
45.45,20,33,13,9.29,7.19,0.73,9.29,743.2,92.9,133.18,3,1.433584,PASSED
45.45,24,38,14,9.64,7.41,0.72,9.64,771.4,96.43,137.08,3,1.421549,PASSED
54.55,22,34,12,10.38,7.85,0.87,10.38,830.4,103.8,111.04,2,1.06975,PASSED
45.45,20,32,12,9.21,7.14,0.72,9.21,736.8,92.1,131.93,3,1.432465,PASSED
63.64,21,32,11,10.08,7.67,0.97,10.09,806.8,100.85,128.17,1,1.270897,PASSED
54.55,19,32,13,4.77,4.12,0.73,4.77,381.4,47.67,59.8,2,1.254458,PASSED
45.45,16,32,16,5.6,4.73,0.73,5.6,447.7,55.96,94.54,3,1.689421,PASSED
54.55,17,33,16,6.98,5.7,0.78,6.98,558.6,69.83,106.6,2,1.526565,PASSED
54.55,22,37,15,10.66,8.01,0.89,10.66,852.5,106.56,119.44,2,1.120871,PASSED
54.55,19,32,13,5.2,4.45,0.78,5.2,416.4,52.05,62.47,2,1.200192,PASSED
54.55,23,38,15,9.77,7.49,0.72,9.77,781.7,97.71,126.69,2,1.296592,PASSED
63.64,21,37,16,7.16,5.83,0.75,7.16,573,71.63,93.32,1,1.302806,PASSED
63.64,19,31,12,7.84,6.27,0.83,7.84,627,78.37,104.08,1,1.328059,PASSED
54.55,20,33,13,9.41,7.27,0.76,9.41,753.2,94.15,117.63,2,1.249389,PASSED
54.55,23,41,18,7.11,5.79,0.75,7.11,569.1,71.14,117.64,2,1.653641,PASSED
54.55,19,32,13,7.11,5.79,1.07,7.11,569.1,71.14,109.85,2,1.544138,PASSED
45.45,16,32,16,5.37,4.57,0.71,5.37,429.9,53.74,93.44,3,1.738742,PASSED
45.45,22,34,12,10.07,7.67,0.84,10.07,805.7,100.71,146.28,3,1.452487,PASSED
63.64,21,32,11,9.9,7.56,0.95,9.9,791.8,98.98,124.9,1,1.261871,PASSED
63.64,21,31,10,9.84,7.53,0.94,9.84,787.5,98.44,123.99,1,1.259549,PASSED
45.45,23,34,11,10.28,7.79,0.74,10.27,822,102.75,156.97,3,1.527689,PASSED
63.64,19,34,15,8.28,6.56,0.72,8.28,662.6,82.83,87.45,1,1.055777,PASSED
54.55,20,32,12,9.34,7.22,0.76,9.34,747.3,93.41,116.35,2,1.245584,PASSED
